;Titulo;Sinopsis;Genero
0;Vis A Vis;"
Vis a vis es una producción de Globomedia para Antena 3, que pretende acercar la ficción carcelaria, en expansión en otros países, al público español. La serie se centra en Macarena, una joven que entra como interna en una prisión de mujeres tras ser acusada de malversación y fraude fiscal.Macarena es una mujer buena que, tras enamorarse de su jefe, se presta a manipular cuentas y malversar dinero de su empresa. Una vez en prisión se siente como pez fuera del agua y se da cuenta de que no tiene nada que ver con sus compañeras de celda. Sin embargo, si quiere sobrevivir allí los siete años que piden de condena para ella, deberá evolucionar, cambiar y dejar de lado sus escrúpulos, para poder convivir con el resto de reclusas. El reparto está encabezado por Maggie Civantos (Bienvenidos al Lolita), a quien acompañan Carlos Hipólito (Guante Blanco), Najwa Nimri (Los amantes del círculo polar), Roberto Enríquez (La señora), Berta Vázquez (Palmeras en la nieve) y Alba Flores (El tiempo entre costuras).
    
      ";Drama, Suspense
1;The Good Doctor;"
The Good Doctor se centra en un joven y brillante cirujano que padece el síndrome de Savant. Poco se sabe de este ""síndrome del sabio"" además de que aquellos que lo sufren tienen una memoria prodigiosa y muy especial. Shaun, no tuvo una infancia fácil, para convertirse en un médico con talento primero debía enfrentarse a los problemas.  El San José St. Bonaventure Hospital, un hospital de prestigio, no duda en reclutar a este médico en la unidad de cirugía pediátrica. El  Dr. Ira Glassman es el culpable de su contratación, pues es su mentor y amigo, y tiene una especial pasión por él.  Sin embargo, el joven no tiene ningún tipo de aptitud social y es incapaz de relacionarse con los demás. Ante esta situación surge la siguiente premisa: ¿Puede una persona que no tiene la capacidad para relacionarse con la gente realmente salvar sus vidas?El creador de House, David Shore, vuelve al género dramático con The Good Doctor. La serie está protagonizada por Freddie Highmore (Bates Motel), Richard Schiff (Rogue), Nicholas Gonzalez (Pretty Little Liars), Antonia Thomas (Lovesick) y Hill Harper (CSI: NY) . El piloto cuenta con la producción de Daniel Dae Kim (Hawai 5.0), Sebastian Lee y el propio David Shore.  La ficción está basada en una serie coreana escrita por Park Jae-bum que se emitió en 2013.
    
      ";Drama, Médico
2;Los 100;"
'Los 100' es un drama post apocalíptico escrito por Jason Rothenberg (Body Politic), basado en los libros de Kass Morgan. La historia está centrada en lo que ocurre con la civilización casi cien años después de que una guerra nuclear la haya devastado.Después de que ocurriese esa catastrófica guerra nuclear, se produjo una huida de los humanos que consiguieron sobrevivir. El futuro de la supervivencia de la raza humana está en manos de unos jóvenes delincuentes que consiguieron huir y salvarse de la guerra. Éstos viven desde entonces en una nave espacial. Desde la estación espacial The Ark, cien de los supervivientes son enviados de vuelta al planeta tierra para investigarlo y poder estudiar las posibilidades que existen de volver a colonizar la tierra.La serie de CW está protagonizada por Eliza Taylor ('Patrick'), Marie Avgeropoulos ('Sensación de vivir: la nueva generación'), Thomas McDonell ('El reino prohibido'), Bobby Morley ('Road Train'), Eli Goree ('Sobrenatural'), Christopher Larkin ('A very Natural Thing') y Devon Bostick ('Small Time'), entre otros.
";Aventura, Drama, Ciencia ficción
3;Riverdale;"
    
              Al mismo tiempo que un nuevo año escolar da comienzo, la ciudad de Riverdale aún está reponiéndose de la trágica muerte reciente de Jason Blossom. Los acontecimientos que han tenido lugar durante el verano han hecho que Archie Andrews (K.J. Apa) se dé cuenta de que quiere seguir una carrera musical y no seguir los pasos de su padre. Asimismo, a Archie aún le pesa haber roto su amistad con Jughead Jones (Cole Sprouse).Mientras tanto, Betty Cooper (Lili Reinhart) está ansiosa de ver a Archie, de quien está enamorada, después de haber estado fuera durante el verano, sin embargo aún no está lista para revelarle sus verdaderos sentimientos. Cuando una nueva estudiante, Veronica Lodge (Camila Mendes), llega a Riverdale desde Nueva York junto a su madre, nace la chispa entre ella y Archie. Pero Veronica no quiere poner su nueva amistad con Betty en riesgo.Cheryl Blossom (Madelaine Petsch), la chica más popular de Riverdale, es feliz removiento las situaciones alrededor de Archie, Betty y Veronica para causar problemas. Pero Cheryl es una chica que guarda muchos secretos. Específicamente sobre la muerte de su hermano gemelo, Jason. Ambientada en el presente y basada en los icónicos personajes de Archie Comics, Riverdale ofrece una sorprendente y subversiva mirada de Archie, Betty, Verónica y el resto de los habitantes de esta pequeña y surrealista ciudad.Producida por Greg Berlanti ('showrunner' de series como Arrow y The Flash), junto a Sarah Schechter, esta serie es una producción de The CW.
    
      ";Drama, Suspense
4;Vikingos;"
Este nuevo drama histórico, dirigido por Michael Hirst ('Elizabeth', 'The Tudors'), de History Channel está centrado en Ragnar Lothbrok, figura mítica que aseguraba que era el descendiente de Odín, el dios principal de la mitología nórdica. En ella, Travis Fimmel ('Country Outlaw', 'Despertar') interpreta a Ragnar Lothbrok, cuyo mayor sueño es explorar nuevas civilizaciones surcando los mares. Gracias a la ayuda de su amigo bufón Floki, al que da vida Gustaf Skarsgård ('Autumn Blood', 'Kon-Tiki'), construyen nuevos navíos más rápidos y elegantes con los que poder dar forma a su mayor ilusión. En su aventura chocan con Earl Haraldson, Gabriel Byrne ('En terapia', 'Asalto al distrito 13'), su principal enemigo, que sospecha de las expectativas de Lothbrok. La lucha entre ambos no se hace esperar.Lothbrok consigue llegar a ser el mejor guerrero de la tribu vikinga mientras lucha por convertirse el rey de Dinamarca y gran parte de, lo que hoy es, Suecia. La serie resalta las batallas con mayor imaginación, haciendo más énfasis en los puntos de vista individuales, las estrategias y astucias de los personajes.
";Aventura, Drama, Histórico
5;Lucifer;"
    
              La historia de Lucifer es la que todos conocemos: un ángel caído del cielo. Sin embargo, este señor del infierno está aburrido de su propia existencia. Por ello, Lucifer decide abandonar su reino e ir a la ciudad de Los Ángeles a descubrir qué puede ofrecerle el mundo mortal.En su búsqueda de ""qué hacer con su tiempo"" decide abrir un distinguido club nocturno, llamado Lux, y se dedica a disfrutar de sus cosas favoritas: el vino, las mujeres y la música. Sin embargo, su apacible vida se ve alterada cuando una mujer es brutalmente asesinada cerca de su club. De repente, siente que debe hacerse justicia y por ello comienza a ayudar a la policía a intentar resolver diversos casos de homicidios, convirtiéndose así en una especie de colaborador.Producida por Warner Bross y emitida en Fox, esta historia está basada en la novela gráfica de mismo nombre y supone el 'spin-off' de otro cómic, The Sandman de Neil Gaiman. Tom Kapinos (Californication) será productor ejecutivo junto a Jerry Burckheimer (CSI), Jonathan Littman (Rehenes), Ildy Modrovich (CSI: Miami), Joe Henderson (Ladrón de guante blanco) y  Len Wiseman (Sleepy Hollow).
    
      ";Drama, Fantasía, Crimen
6;Anatomía de Grey;"
    
              Meredith Grey (Ellen Pompeo, 'Daredevil', 'El compromiso') es hija de una de las cirujanas más respetadas de la profesión. Ahora, ella quiere seguir los pasos de su madre en el Hospital Grace de Seattle. Grey se presenta como piedra angular de la serie de la que surgirán diferentes conflictos en relación con su amante, el neurocirujano Derek Shepherd (Patrick Dempsey, 'Transformers: el lado oscuro de la luna'); su mejor amiga, la Dra. Cristina Yang (Sandra Oh, 'Bajo el sol de la Toscana'), y el resto de los médicos del hospital, especialmente los internos en periodo de prácticas, como Alex Karev (Justin Chambers, 'Planes de boda'), Izzie Stevens (Katherine Heigl, '27 vestidos') o George O'Malley (T.R. Knight, 'Charlie Lawrence'). La serie gira en torno a este grupo de cirujanos, médicos e internos, los casos médicos que tratan en cada episodio y las relaciones interpersonales que tienen lugar entre los mismos. Se pone de manifiesto la intensidad de la medicina a través de estos conflictos y también a través de la carrera de los internos por convertirse en médicos.
    
      ";Drama, Médico
7;The Walking Dead;"
    
              La historia nos traslada a un escenario post-pandémico en el que un virus ha acabado con la práctica totalidad de la población mundial convirtiéndolos en zombis. Seremos testigo de la lucha de un grupo de supervivientes por mantenerse a salvo en este entorno infestado de zombis o, como ellos prefieren llamarlos, caminantes.Nuestro protagonista, Rick Grimes (Andrew Lincoln, 'Love Actually', 'Cumbres Borrascosas') es un policía que despierta de un estado comatoso y encuentra este desolador panorama. Su única razón para seguir adelante es encontrar a su mujer Lori (Sarah Wayne Callies, 'Prison Break') y a su hijo Carl (Chandler Riggs). Ambos, que siguen vivos, están en un grupo de supervivientes en el que también se encuentra el ex compañero de patrulla y mejor amigo de Rick, Shane Walsh (Jon Bernthal, 'El escritor') con el que Lori, creyendo a su marido muerto, tiene un romance.'The Walking Dead' está inspirada en la serie de novelas gráficas de mismo título escritas por el guionista Robert Kirkman ('Spawn', 'Spider-Man Unlimited', 'Marvel Zombies'), Tony Moore ('Ghost Rider') y Charlie Adlard ('Juez Dredd'). La adaptación audiovisual de estas viene a cargo de Frank Darabont ('Cadena perpetua', 'La milla verde'), al menos hasta que fue despedido durante el rodaje de la segunda temporada por problemas de presupuesto con la cadena AMC.
    
      ";Drama, Terror
8;Siren;"
    
              Una joven misteriosa llamada Ryn aparece en el pueblo costero de Bristol Cove, conocido por su leyenda de haber sido el hogar de las sirenas. Este aparente mito se vuelve realidad con la llegada de la joven, que desatará la lucha entre el hombre y el mar.Siren está protagonizada por Alex Roe (La Quinta Ola), Ben, un biólogo marino que se siente atraído por Ryn, interpretada por Eline Powell (Juego de Tronos). Completan el reparto Fola Evans-Akingbola como Maddie, compañera bióloga de Ben, Ian Verdun, como Xander, un pescador del pueblo ansioso por descubrir la verdad y Rena Owen, en el papel de Helen, una ciudadana que parece saber mucho de sirenas.La serie de Freeform se compone de 10 capítulos de una hora de duración. Está escrita y producida por Eric Wald y Dean White junto a la showrunner y productora ejecutiva Emily Whitesell.
    
      ";Drama, Fantasía
9;Juego de Tronos;"
    
              HBO, desde la calidad que caracteriza a la cadena, nos brinda una vez más una magistral adaptación televisiva de la serie de novelas 'Canción de hielo y fuego' del escritor estadounidense George R. R. Martin. La versión para la pequeña pantalla de esta historia comparte título con el primero de los libros de la saga, 'Juego de tronos', y está escrita y producida por David Benioff ('Troya', 'X-Men Origins: Wolverine') y D.B. Weiss.La serie nos sitúa en Invernalia, uno de los siete reinos del continente de Poniente. Tras un largo verano, Lord Eddard 'Ned' Stark (Sean Ben, 'El señor de los anillo', 'Troya', 'Equilibrium'), señor de Invernalia, es llamado a ocupar el cargo de Mano del Rey. Se verá obligado a dejar su tierra para unirse a la corte del rey Robert Baratheon 'El Usurpador' (Mark Addy, 'Robin Hood', 'Los Picapiedra en Viva Rock Vegas'), señor de los Siete Reinos, hombre díscolo y otrora un gran guerrero. Pronto, los principios y la ética de Ned Stark chocarán con la forma de vida del rey Baratheon, pero incluso más con la de los Lannister, una de las siete familias más importantes del reino de la cual la reina Cersei Lannister (Lena Headey, '300') proviene. No menos tormentosa será la relación con su hermano Jaime Lannister (Nikolaj Coster-Waldau, 'Black Hawk derribado', El reino de los cielos') y el enano Tyrion (Peter Dinklage, 'Elf', 'Las Crónicas de Narnia').Inmerso en este mundo cuyas estaciones duran décadas y en el que retazos de una magia inmemorial y olvidada surgen en los rincones más sombríos y maravillosos, Ned Stark tendrá que lidiar con la traición, la lealtad, la compasión y la sed de venganza. Desde su nueva posición más cercana al rey, ocupará el lugar ideal para intentar desentrañar una maraña de intrigas que pondrá en peligro tanto su vida como la de los miembros de su familia: su esposa Catelyn (Michelle Fairley, 'Harry Potter') y sus hijos Robb (Richard Madden, 'Sirens'), Bran (Isaac Hempstead-Wright), Arya (Maisie Williams), Sansa (Sophie Turner) y el bastardo Jon Nieve (Kit Harington). Giros drásticos en la trama, épica, violencia, sangre y sexo se juntan en esta superproducción que te dejará pegado a la pantalla.
    
      ";Drama, Fantasía
